code,species
warfin1,Green Warbler-Finch
woofin1,Woodpecker Finch
blflan1,Blue-fronted Lancebill
amewoo1,Amethyst Woodstar
letbar1,Lemon-throated Barbet
spotan1,Spotted Tanager
plcgrt1,Plain-capped Ground-Tyrant
scapig2,Scaled Pigeon
whcswi2,White-chested Swift
yeofly1,Yellow-olive Flatbill
brcmar1,Brown-chested Martin
rutjac1,Rufous-tailed Jacamar
spbwre2,Speckle-breasted Wren
masyel4,Black-lored Yellowthroat
brcfly4,Mouse-gray Flycatcher
cattyr,Cattle Tyrant
whtkit,White-tailed Kite
whrhaw1,White-rumped Hawk
strtre1,Striped Treehunter
linant1,Lined Antshrike
comduc3,Comb Duck
leagre,Least Grebe
baugua1,Baudo Guan
sapqud1,Purple Quail-Dove
pucwoo1,Purple-collared Woodstar
rofpar2,Rose-faced Parrot
blanig1,Blackish Nightjar
greher1,Green Hermit
grbher1,Great-billed Hermit
gycher1,Gray-chinned Hermit
cocjac2,Coppery-chested Jacamar
dusspi1,Dusky Spinetail
mastan1,Masked Tanager
colplo1,Collared Plover
solsan,Solitary Sandpiper
sander,Sanderling
yebcht1,Yellow-bellied Chat-Tyrant
galmar1,Galapagos Martin
powwoo1,Powerful Woodpecker
asctap1,Ash-colored Tapaculo
barfru1,Barred Fruiteater
spwant2,Spot-winged Antshrike
pygant1,Pygmy Antwren
blcbec1,Black-capped Becard
whifly1,Whiskered Flycatcher
olifla2,Western Olivaceous Flatbill
whveup1,White-vented Euphonia
yebtan1,Yellow-backed Tanager
rebscy1,Red-billed Scythebill
refboo,Red-footed Booby
goujew1,Gould's Jewelfront
napsab1,Napo Sabrewing
mashum1,Many-spotted Hummingbird
coltro1,Collared Trogon
blspuf1,Black-streaked Puffbird
ocbant1,Ochre-breasted Antpitta
mofgle1,Montane Foliage-gleaner
blrman1,Blue-rumped Manakin
fitfru1,Fiery-throated Fruiteater
blnchl1,Blue-naped Chlorophonia
banswa,Bank Swallow
giacon1,Giant Conebill
mouavo1,Mountain Avocetbill
chnant1,Chestnut-naped Antpitta
rufspi1,Rufous Spinetail
impsni1,Imperial Snipe
ocetap1,Ocellated Tapaculo
pabtin1,Pale-browed Tinamou
elecre1,Elegant Crescentchest
necspi1,Necklaced Spinetail
blbgro2,Black-backed Grosbeak
oribla1,Oriole Blackbird
bltfly1,Black-tailed Flycatcher
blcsal1,Black-cowled Saltator
olbwoo1,Olive-backed Woodcreeper
olipih2,Olivaceous Piha
spfpar1,Speckle-faced Parrot
duspih1,Dusky Piha
whtsco1,White-throated Screech-Owl
rubfly2,Rufous-breasted Flycatcher
rehtan2,Red-hooded Tanager
blaant4,Blackish Antbird
shtant1,Short-tailed Antthrush
brbscy1,Brown-billed Scythebill
strwoo4,Eastern Woodhaunter
eulfly1,Euler's Flycatcher
slcant2,Slate-crowned Antpitta
asbspi1,Ash-browed Spinetail
chbchl1,Chestnut-breasted Chlorophonia
bkther1,Black-throated Hermit
renwoo1,Red-necked Woodpecker
sooant1,Sooty Antbird
noccur1,Nocturnal Curassow
motowl,Mottled Owl
blctro1,Blue-crowned Trogon
ruwant3,Rusty-winged Antwren
webhum1,Geoffroy's Daggerbill
oretan1,Orange-eared Tanager
zigher1,Zigzag Heron
leabit,Least Bittern
blttro1,Black-tailed Trogon
cocant1,Cocha Antshrike
amasta1,Amazonian Streaked-Antwren
plaxen3,Amazonian Plain-Xenops
gowtof1,Golden-winged Tody-Flycatcher
kinvul1,King Vulture
chcpuf1,Chestnut-capped Puffbird
whbher1,White-bearded Hermit
blbpep1,Black-billed Peppershrike
galdov1,Galapagos Dove
plbthr2,Plumbeous-backed Thrush
greela,Greenish Elaenia
grhgul,Gray-hooded Gull
y00678,Crested Caracara
gywtru1,Gray-winged Trumpeter
grejac2,Great Jacamar
blbman1,Blue-backed Manakin
scrpih1,Screaming Piha
brofly1,Brownish Twistwing
grywaf1,Gray Warbler-Finch
smtfin1,Small Tree-Finch
savhaw1,Savanna Hawk
mouwar,Mourning Warbler
peakit1,Pearl Kite
buftuf3,Pacific Tuftedcheek
rnwrai1,Rufous-necked Wood-Rail
bkbtho1,Black-bellied Thorntail
amered,American Redstart
litwoo2,Little Woodpecker
mouant,Moustached Antwren
batbar1,Band-tailed Barbthroat
gybhaw2,Gray-backed Hawk
bkttro2,Ecuadorian Trogon
strxen1,Streaked Xenops
ochatt1,Ochraceous Attila
bubgro1,Blue-black Grosbeak
crahaw,Crane Hawk
whsant1,White-shouldered Antbird
bsbeye1,Black-spotted Bare-eye
stbwoo2,Straight-billed Woodcreeper
yecela1,Yellow-crowned Elaenia
grhtan1,Gray-headed Tanager
azugal1,Azure Gallinule
blaant5,Riparian Antbird
tabfly1,Tawny-breasted Flycatcher
cerwar,Cerulean Warbler
orfplu2,Orange-fronted Plushcrown
blcfru1,Black-chested Fruiteater
dbwqua1,Dark-backed Wood-Quail
rufgle1,Ruddy Foliage-gleaner
gybfly1,Gray-breasted Flycatcher
tafgna1,Tawny-faced Gnatwren
latnig1,Ladder-tailed Nightjar
grbcra1,Gray-breasted Crake
pielap1,Pied Plover
ruhwoo1,Rufous-headed Woodpecker
buwpar2,Riparian Parrotlet
casant1,Castelnau's Antshrike
whbspi1,White-bellied Spinetail
whrsir1,White-rumped Sirystes
rubnig1,Rufous-bellied Nighthawk
rubowl3,Rufous-banded Owl
jetant1,Jet Antbird
ocbdov1,Ochre-bellied Dove
chhoro1,Chestnut-headed Oropendola
salcur1,Salvin's Curassow
slchaw2,Slate-colored Hawk
purjac1,Purplish Jacamar
bertin1,Berlepsch's Tinamou
chopoo1,Choco Poorwill
ficbar1,Five-colored Barbet
dusant1,Dusky Antbird
sttant3,Stub-tailed Antbird
spoant1,Spotted Antbird
rutfly2,Ruddy-tailed Flycatcher
sttwre1,Stripe-throated Wren
whctan1,White-capped Tanager
giahum1,Giant Hummingbird
stbcan9,Streak-backed Canastero
andlap1,Andean Lapwing
bwgdov1,Black-winged Ground Dove
bkfibi2,Andean Ibis
antspi1,Andean Tit-Spinetail
blbpuf3,Black-breasted Puffleg
parpip1,Paramo Pipit
rubtap1,Rusty-belted Tapaculo
rurant1,Rufous-rumped Antwren
cogdov,Common Ground Dove
whevir,White-eyed Vireo
oligre1,Olivaceous Greenlet
sheowl,Short-eared Owl
chcbec1,Chestnut-crowned Becard
gymwre1,Gray-mantled Wren
atbtan1,Ashy-throated Chlorospingus
sbnthr1,Slaty-backed Nightingale-Thrush
rubsol1,Rufous-brown Solitaire
pavthr1,Pale-vented Thrush
aplfal,Aplomado Falcon
lobdow,Long-billed Dowitcher
whnpuf2,White-necked Puffbird
chcgna1,Chestnut-crowned Gnateater
blbtre1,Black-billed Treehunter
semhaw2,Semicollared Hawk
hanfly1,Handsome Flycatcher
lesela1,Lesser Elaenia
tabsco1,Tawny-bellied Screech-Owl
bawnig1,Band-winged Nightjar
sacnig1,Sand-colored Nighthawk
blftan1,Black-faced Tanager
ecupie1,Ecuadorian Piedtail
milmac,Military Macaw
barant2,Barred Antthrush
vabtyr1,Variegated Bristle-Tyrant
mocthi1,Mouse-colored Thistletail
blbcra1,Black-banded Crake
rfwqua1,Rufous-fronted Wood-Quail
bkbplo,Black-bellied Plover
wilpha,Wilson's Phalarope
wessan,Western Sandpiper
chifla1,Chilean Flamingo
blbcuc1,Black-bellied Cuckoo
cinhar1,Cinereous Harrier
drwtyr1,Drab Water Tyrant
whcswi1,White-chinned Swift
chccot1,Chestnut-crested Cotinga
bubtan1,Buff-bellied Tanager
siltan1,Silvery Tanager
whwpuf1,White-whiskered Puffbird
slaant1,Slaty Antwren
whcpuf1,White-chested Puffbird
olshum1,Olive-spotted Hummingbird
parspi1,Parker's Spinetail
sptfly1,Spotted Tody-Flycatcher
easkin,Eastern Kingbird
spwant3,Spot-winged Antbird
rucant2,Rufous-capped Antthrush
vartin1,Variegated Tinamou
rufpot1,Rufous Potoo
gybsab1,Gray-breasted Sabrewing
pavque1,Pavonine Quetzal
fasant1,Fasciated Antshrike
yebant3,Yellow-browed Antbird
amabaw1,Amazonian Barred-Woodcreeper
btfgle1,Ochre-throated Foliage-gleaner
wibwre1,Wing-banded Wren
wavalb,Waved Albatross
barpet,Band-rumped Storm-Petrel
marthr2,Marañon Thrush
gycwor1,Gray-cowled Wood-Rail
ecutyr1,Ecuadorian Tyrannulet
chbthr2,Chestnut-bellied Thrush
rerwoo1,Red-rumped Woodpecker
bkcspa1,Black-capped Sparrow
whnpar1,White-necked Parakeet
subfly,Sulphur-bellied Flycatcher
olioro1,Olive Oropendola
ragmac1,Red-and-green Macaw
spacoq1,Spangled Coquette
wibsee1,Wing-barred Seedeater
foosco1,Foothill Screech-Owl
bronun1,Brown Nunlet
clifly1,Cliff Flycatcher
chvcon1,Chestnut-vented Conebill
cowfin1,Collared Warbling Finch
ruftof1,Rusty-fronted Tody-Flycatcher
higtin1,Highland Tinamou
willet1,Willet
sooshe,Sooty Shearwater
mcgdov1,Maroon-chested Ground Dove
ruvwhi1,Rufous-vented Whitetip
mobela1,Mottle-backed Elaenia
whtsic1,White-tipped Sicklebill
whcman2,White-crowned Manakin
muswre2,Musician Wren
fooant1,Foothill Stipplethroat
pluhaw,Plumbeous Hawk
blswoo1,Black-striped Woodcreeper
bucman1,Velvety Manakin
ruwtan1,Rufous-winged Tanager
pabcra,Paint-billed Crake
galrai1,Galapagos Rail
fustan1,Fulvous Shrike-Tanager
ornant1,Ornate Stipplethroat
piepuf1,Pied Puffbird
potpal1,Point-tailed Palmcreeper
lessee2,Lesson's Seedeater
spfswi1,Spot-fronted Swift
bawhae1,Black-and-white Hawk-Eagle
roltyr1,White-fronted Tyrannulet
slafin1,Slaty Finch
dobant2,Dot-backed Antbird
crbwoo1,Crimson-bellied Woodpecker
barpuf1,Barred Puffbird
ygbtan1,Yellow-green Tanager
emetan1,Emerald Tanager
whwpar,White-winged Parakeet
grhowl,Great Horned Owl
vitmet1,Violet-throated Metaltail
orcfly1,Orange-crested Flycatcher
chovir1,Choco Vireo
varsch1,Varzea Schiffornis
olifin1,Olive Finch
woosto,Wood Stork
tanfin1,Tanager Finch
comnig,Common Nighthawk
ecupic1,Ecuadorian Piculet
wheori1,White-edged Oriole
whsant2,White-shouldered Antshrike
rufsco1,Rufescent Screech-Owl
persco1,Peruvian Screech-Owl
cooela1,Coopmans's Elaenia
latfin1,Large Tree-Finch
pacela1,Pacific Elaenia
tropew2,Tumbes Pewee
parsee1,Paramo Seedeater
rorfly1,Roraiman Flycatcher
wespuf1,Western Striolated-Puffbird
chttou3,Chestnut-tipped Toucanet
blbtan3,Blue-browed Tanager
swtnig1,Swallow-tailed Nightjar
sonwre1,Song Wren
vertan1,Vermilion Tanager
slabec1,Slaty Becard
rutsap1,Rufous-throated Sapphire
bbsfin1,Black-billed Seed-Finch
dabcuc1,Dark-billed Cuckoo
buffal1,Buckley's Forest-Falcon
yebant2,Yellow-breasted Antwren
rutfog1,Rufous-tailed Foliage-gleaner
fooela1,Foothill Elaenia
fuctan1,Fulvous-crested Tanager
blctyr1,Black-capped Tyrannulet
bkttro6,Amazonian Black-throated Trogon
putcot1,Purple-throated Cotinga
scrnig1,Scrub Nightjar
soalea1,South American Leaftosser
cibatt1,Citron-bellied Attila
flatre1,Flammulated Treehunter
bawwar,Black-and-white Warbler
tenwar,Tennessee Warbler
royfly1,Tropical Royal Flycatcher
cubtin1,Curve-billed Tinamou
ruwtyr1,Rufous-winged Tyrannulet
tabtin1,Tawny-breasted Tinamou
grflan1,Green-fronted Lancebill
partap4,Loja Tapaculo
bkefai1,Black-eared Fairy
shtstr1,Sharp-tailed Streamcreeper
btttyr1,Black-throated Tody-Tyrant
amtsun3,Amethyst-throated Sunangel
wrbfin1,White-rimmed Brushfinch
shtwoo1,Short-tailed Woodstar
rerfru1,Red-ruffed Fruitcrow
vegfin2,Vegetarian Finch
andpot1,Andean Potoo
andsis1,Andean Siskin
orbfly1,Orange-banded Flycatcher
ecutap1,Ecuadorian Tapaculo
hhfgle1,Henna-hooded Foliage-gleaner
supwre1,Superciliated Wren
thlsch2,Northern Schiffornis
drasee1,Drab Seedeater
eleter1,Elegant Tern
cocboo1,Cocos Booby
whcant1,White-cheeked Antbird
beajay1,Beautiful Jay
surfly1,Sulphur-rumped Flycatcher
versco2,Choco Screech-Owl
linwoo4,Duida Woodcreeper
sctlea1,Scaly-throated Leaftosser
tuffly,Tufted Flycatcher
whfnun2,White-faced Nunbird
blatin1,Black Tinamou
shbgrf2,Genovesa Ground-Finch
wilplo,Wilson's Plover
fietop1,Fiery Topaz
swfgle,Slaty-winged Foliage-gleaner
ecucac1,Ecuadorian Cacique
goppar1,Golden-plumed Parakeet
rungre1,Rufous-naped Greenlet
silgre1,Silvery Grebe
andsni1,Jameson's Snipe
norsho,Northern Shoveler
snoplo5,Snowy Plover
belgul,Belcher's Gull
blkski,Black Skimmer
watant1,Watkins's Antpitta
safsis1,Saffron Siskin
gencaf1,Genovesa Cactus-Finch
hoomoc1,Española Mockingbird
larcaf2,Española Ground-Finch
lesnig,Lesser Nighthawk
grytin1,Gray Tinamou
bicant4,Bicolored Antvireo
whsant4,White-streaked Antvireo
greoro1,Green Oropendola
fulant1,Fulvous Antshrike
blfant1,Black-faced Antthrush
blkter,Black Tern
bufpar1,Blue-fronted Parrotlet
liffal1,Lined Forest-Falcon
plwant2,Plain-winged Antwren
plctyr1,Plumbeous-crowned Tyrannulet
rubpic1,Rufous-breasted Piculet
yetspa1,Yellow-throated Spadebill
unicra1,Uniform Crake
shbhon2,Short-billed Honeycreeper
lewtyr1,Lesser Wagtail-Tyrant
santer1,Sandwich Tern
bkbcuc,Black-billed Cuckoo
pafswa1,Pale-footed Swallow
agitit1,Agile Tit-Tyrant
rubant7,Leymebamba Antpitta
litwoo5,Little Woodstar
zimant1,Zimmer's Antbird
jocant1,Jocotoco Antpitta
tacgre4,Rufous-fronted Greenlet
thbwar2,Three-banded Warbler
bltlea1,Black-tailed Leaftosser
gytpih1,Gray-tailed Piha
blapew1,Blackish Pewee
elopar1,El Oro Parakeet
pertyr1,Peruvian Tyrannulet
whbfin1,White-headed Brushfinch
chcswa2,Chestnut-collared Swallow
greman2,Green Manakin
perpel1,Peruvian Pelican
blusee4,Ecuadorian Seedeater
nebmet1,Neblina Metaltail
ruccra1,Russet-crowned Crake
higela2,Highland Elaenia
esmwoo2,Esmeraldas Woodstar
chaant1,Chapman's Antshrike
yebter2,Yellow-billed Tern
bubwre1,Buff-breasted Wren
pabsee1,Parrot-billed Seedeater
brufly1,Brujo Flycatcher
bkhant8,Black-hooded Antthrush
spwpar2,Spot-winged Parrotlet
ocewoo1,Ocellated Woodcreeper
rutfla1,Rufous-tailed Flatbill
bicant2,Bicolored Antbird
recman1,Red-capped Manakin
lestan,Lemon-spectacled Tanager
mamtan1,Masked Mountain Tanager
reswoo1,Red-stained Woodpecker
yetwoo1,Yellow-throated Woodpecker
gogwoo1,Golden-green Woodpecker
butsic1,Buff-tailed Sicklebill
rubsee1,Ruddy-breasted Seedeater
baisan,Baird's Sandpiper
gyhant1,Gray-headed Antbird
merlin,Merlin
barswi,Band-rumped Swift
chowoo1,Choco Woodpecker
litwoo1,Lita Woodpecker
spcant1,Spot-crowned Antvireo
chotap1,Choco Tapaculo
grnman1,Choco Manakin
whrfly,White-ringed Flycatcher
sltgna1,Slate-throated Gnatcatcher
goctan1,Golden-chested Tanager
sawtan1,Scarlet-and-white Tanager
scspar1,Scarlet-shouldered Parrotlet
cinmou1,Cinereous Mourner
redpha1,Red Phalarope
bawbec7,Black-and-white Becard
spbtyr1,Spectacled Bristle-Tyrant
metfin1,Medium Tree-Finch
tumhum1,Tumbes Hummingbird
stftyr1,Short-tailed Field Tyrant
gloibi,Glossy Ibis
whvplu1,White-vented Plumeleteer
cintea,Cinnamon Teal
grygul,Gray Gull
gubter2,Gull-billed Tern
comter,Common Tern
rnfgle1,Rufous-necked Foliage-gleaner
orcman3,Orange-crowned Manakin
whbpur1,White-browed Purpletuft
comblh1,Common Black Hawk
plurai1,Plumbeous Rail
cinant1,Cinereous Antshrike
orefly1,Orange-eyed Flatbill
lawthr1,Lawrence's Thrush
chbwre2,Northern Chestnut-breasted Wren
yebjac1,Yellow-billed Jacamar
bawtyr1,Black-and-white Tody-Flycatcher
croslf1,Crowned Slaty Flycatcher
dubpar1,Dusky-billed Parrotlet
fotfly,Fork-tailed Flycatcher
blhspi1,Blackish-headed Spinetail
sbgtyr1,Spot-billed Ground-Tyrant
rurfog1,Rufous-rumped Foliage-gleaner
moctyr6,Tumbesian Tyrannulet
tumspa1,Tumbes Sparrow
yebnun1,Yellow-billed Nunbird
chbgna1,Chestnut-belted Gnateater
gryela1,Choco Elaenia
shblea1,Short-billed Leaftosser
pecsan,Pectoral Sandpiper
surfbi,Surfbird
wilfly,Willow Flycatcher
orhtan1,Orange-headed Tanager
fuveup1,Fulvous-vented Euphonia
phbfin1,Pale-headed Brushfinch
chamoc1,Floreana Mockingbird
chwfog1,Chestnut-winged Foliage-gleaner
obfgle3,Olive-backed Foliage-gleaner
relpar10,Red-lored Amazon
refpar2,Red-faced Parrot
gocspa1,Golden-crowned Spadebill
lotpot1,Long-tailed Potoo
epaori1,Epaulet Oriole
stptyr1,Short-tailed Pygmy-Tyrant
jelcht1,Jelski's Chat-Tyrant
yetfly2,Yellow-throated Flycatcher
olehem1,Oleaginous Hemispingus
blcant3,Black-chinned Antbird
sapqud2,Sapphire Quail-Dove
hacant1,Hairy-crested Antbird
stisan,Stilt Sandpiper
moctyr4,Marañon Tyrannulet
orttan1,Orange-throated Tanager
leshor1,Lesser Hornero
bratea1,Brazilian Teal
marspi3,Marañon Spinetail
bawant1,Black-and-white Antbird
rivtyr1,River Tyrannulet
bkcspa2,Marañon Sparrow
rufnig1,Rufous Nightjar
ocecra1,Ocellated Crake
marcre1,Marañon Crescentchest
wtgfin1,Wedge-tailed Grass-Finch
ructho1,Rufous-capped Thornbill
grescy1,Greater Scythebill
hauthr1,Hauxwell's Thrush
scfpar3,Cordilleran Parakeet
arcter,Arctic Tern
ruttyr1,Rufous-tailed Tyrant
wbctyr1,White-browed Chat-Tyrant
rercac1,Red-rumped Cacique
bltcot1,Black-tipped Cotinga
soleag1,Solitary Eagle
bnrcot1,Black-necked Red-Cotinga
blcswa2,Black-collared Swallow
petkne1,Peruvian Thick-knee
redkno,Red Knot
crfant1,Crescent-faced Antpitta
pitbri1,Pink-throated Brilliant
tumtyr2,Tumbes Chat-Tyrant
crfgle1,Cinnamon-rumped Foliage-gleaner
rcatan1,Red-crowned Ant-Tanager
grtlea1,Gray-throated Leaftosser
amgplo,American Golden-Plover
whihaw1,White Hawk
btttyr2,Buff-throated Tody-Tyrant
lunant2,Lunulated Antbird
koesco1,Koepcke's Screech-Owl
whtnig1,White-tailed Nightjar
strowl1,Striped Owl
bufowl1,Buff-fronted Owl
barant1,Barred Antshrike
origoo1,Orinoco Goose
refpar3,Red-fan Parrot
blchaw1,Black-collared Hawk
fespar1,Festive Amazon
rudspi1,Ruddy Spinetail
jottyr1,Johannes's Tody-Tyrant
trogna1,Tropical Gnatcatcher
asbant1,Ash-breasted Antbird
plcspi1,Plain-crowned Spinetail
pebcon1,Pearly-breasted Conebill
ccfgle2,Chestnut-crowned Foliage-gleaner
blfhaw1,Black-faced Hawk
blabus1,Black Bushbird
yesgro2,Yellow-shouldered Grosbeak
tafqua1,Tawny-faced Quail
oceant1,Ocellated Antbird
perant1,Peruvian Antpitta
shtpar2,Short-tailed Parrot
whtwoo2,White-throated Woodpecker
peaant1,Pearly Antshrike
wtstyr1,White-tailed Shrike-Tyrant
cliswa,Cliff Swallow
gybhaw1,Gray-bellied Hawk
supowl1,Subtropical Pygmy-Owl
scbfru1,Scarlet-breasted Fruiteater
rubtyr1,Rufous-browed Tyrannulet
bwwwre1,Bar-winged Wood-Wren
sutfin1,Sulphur-throated Finch
tobhum1,Tooth-billed Hummingbird
roysun1,Royal Sunangel
wbptyr1,White-bellied Pygmy-Tyrant
smbela1,Small-billed Elaenia
gycthr,Gray-cheeked Thrush
pifshe,Pink-footed Shearwater
yebcra1,Yellow-breasted Crake
sabgul,Sabine's Gull
rubsti1,Rufous-backed Stipplethroat
whtthr2,Dagua Thrush
chbcot1,Chestnut-bellied Cotinga
gawtyr2,Gray-and-white Tyrannulet
colpuf1,Collared Puffbird
semhaw,Semiplumbeous Hawk
ducfog1,Dusky-cheeked Foliage-gleaner
rebtyr2,Red-billed Tyrannulet
obqdov1,Olive-backed Quail-Dove
dobgra1,Double-banded Graytail
rufpih1,Rufous Piha
spemou1,Speckled Mourner
fusfly1,Fuscous Flycatcher
equgra1,Equatorial Graytail
spepri1,Spectacled Prickletail
whrsan,White-rumped Sandpiper
rufmou1,Rufous Mourner
bagcuc1,Banded Ground-Cuckoo
sapayo1,Sapayoa
pacfla1,Pacific Flatbill
blfjac1,Bluish-fronted Jacamar
ocepoo1,Ocellated Poorwill
bcbfin1,Bay-crowned Brushfinch
spopuf1,Spotted Puffbird
andtin1,Andean Tinamou
stcant2,Streak-chested Antpitta
astgna1,Ash-throated Gnateater
sbffal1,Slaty-backed Forest-Falcon
prowar,Prothonotary Warbler
ligtyr1,Little Ground-Tyrant
scfpar2,Scarlet-fronted Parakeet
whthaw1,White-throated Hawk
spespi1,Speckled Spinetail
cinsco1,Cinnamon Screech-Owl
pinbit1,Pinnated Bittern
slbxen1,Slender-billed Xenops
balori,Baltimore Oriole
manfin1,Mangrove Finch
linsee1,Lined Seedeater
lyhvul1,Lesser Yellow-headed Vulture
moupuf1,Moustached Puffbird
bktflo1,Black-throated Flowerpiercer
risant1,Rio Suno Antwren
bkwvir,Black-whiskered Vireo
nobsni1,Noble Snipe
strant2,Striated Antbird
cartan2,Yellow-lored Tanager
wbgtyr1,White-browed Ground-Tyrant
strant3,Striated Antthrush
parjae,Parasitic Jaeger
lotjae,Long-tailed Jaeger
wetshe,Wedge-tailed Shearwater
pomjae,Pomarine Jaeger
masboo,Masked Booby
uplsan,Upland Sandpiper
tacgre2,Ochre-crowned Greenlet
banant2,Banded Antbird
sporai,Spotted Rail
amsfly1,Amazonian Scrub-Flycatcher
varfly,Variegated Flycatcher
soater1,South American Tern
slttro1,Slaty-tailed Trogon
tattin1,Tataupa Tinamou
pbgdov1,Plain-breasted Ground Dove
sooter1,Sooty Tern
bubsan,Buff-breasted Sandpiper
rutant3,Rufous-tailed Stipplethroat
shbgrf3,Sharp-beaked Ground-Finch
purmar,Purple Martin
embpuf1,Emerald-bellied Puffleg
rinant2,Ringed Antpipit
orcori,Orchard Oriole
thlsch8,Foothill Schiffornis
gnttan1,Green-throated Tanager
rwbeye1,Reddish-winged Bare-eye
yebcuc,Yellow-billed Cuckoo
shlcot2,Andean Laniisoma
perter2,Peruvian Tern
pershe2,Peruvian Sheartail
rwwrai1,Red-winged Wood-Rail
bbfgle1,Buff-browed Foliage-gleaner
wfspet,White-faced Storm-Petrel
massal1,Masked Saltator
slathr2,Andean Slaty Thrush
shbgrf1,Vampire Ground-Finch
incter1,Inca Tern
margod,Marbled Godwit
rucant3,Rufous-crowned Antpitta
lazsab1,Lazuline Sabrewing
phecuc1,Pheasant Cuckoo
thlsch3,Brown-winged Schiffornis
parpet1,Parkinson's Petrel
maspet,Markham's Storm-Petrel
cbttyr1,Cinnamon-breasted Tody-Tyrant
chsant1,Chestnut-shouldered Antwren
whmtyr1,White-headed Marsh Tyrant
swafly1,Swainson's Flycatcher
cinmat1,Cinnamon Manakin-Tyrant
bkctit1,Black-crested Tit-Tyrant
guacor1,Guanay Cormorant
briter1,Bridled Tern
brtplu1,Bronze-tailed Plumeleteer
whtkin1,White-throated Kingbird
broela1,Brownish Elaenia
thsfly2,Three-striped Flycatcher
creeag1,Crested Eagle
gyccuc,Gray-capped Cuckoo
slbmin1,Slender-billed Miner
scaibi,Scarlet Ibis
fescoq2,Butterfly Coquette
gregre1,Great Grebe
sosfly1,Southern Scrub-Flycatcher
whbdac1,White-bellied Dacnis
parjac1,Paradise Jacamar
conwar,Connecticut Warbler
bawtan1,Black-and-white Tanager
soumar,Southern Martin
swahaw,Swainson's Hawk
lotwoo5,Mournful Long-tailed Woodcreeper
wnbfin1,White-naped Brushfinch
bltant2,Black-throated Antbird
astcra1,Ash-throated Crake
grcfly,Great Crested Flycatcher
spetan1,Speckled Tanager
batoro1,Band-tailed Cacique
babwar,Bay-breasted Warbler
sharpb1,Sharpbill
chswar,Chestnut-sided Warbler
bicant3,Bicolored Antpitta
colcra2,Colombian Crake
whiter4,Blue-billed White-Tern
whcwoo1,White-chinned Woodcreeper
phivir,Philadelphia Vireo
blucot1,Blue Cotinga
scadov1,Scaled Dove
pavcuc1,Pavonine Cuckoo
wilsni1,Wilson's Snipe
blcjay2,Black-collared Jay
rivtyr2,Riverside Tyrant
slcsee1,Slate-colored Seedeater
calgul,California Gull
panfly1,Panama Flycatcher
piwtyr1,Pied Water-Tyrant
sarpar2,Sapphire-rumped Parrotlet
rutxen1,Rufous-tailed Xenops
norsla1,Northern Slaty-Antshrike
gowwar,Golden-winged Warbler
masduc,Masked Duck
easmea,Eastern Meadowlark
yetvir,Yellow-throated Vireo
palhor3,Pale-legged Hornero
grykin,Gray Kingbird
zittyr1,Zimmer's Tody-Tyrant
wibant1,Wing-banded Antbird
jetman2,Jet Manakin
hudgod,Hudsonian Godwit
bkspet,Black Storm-Petrel
ruffly1,Rufous Flycatcher
grecur1,Great Curassow
siryst3,Choco Sirystes
belkin1,Belted Kingfisher
stwqua1,Starred Wood-Quail
blbpuf1,Black-breasted Puffbird
tatdot1,Tawny-throated Dotterel
lcspet,Leach's Storm-Petrel
grnher,Green Heron
pictyr1,Piura Chat-Tyrant
perpig2,Peruvian Pigeon
whcspa1,White-crested Spadebill
andhil2,Green-headed Hillstar
punibi1,Puna Ibis
pagplo,Pacific Golden-Plover
amaant2,Amazonian Antshrike
larela1,Large Elaenia
salalb1,Salvin's Albatross
bkfibi1,Black-faced Ibis
ambtyr1,Amazonian Black-Tyrant
boboli,Bobolink
rvgcuc1,Rufous-vented Ground-Cuckoo
chiswi,Chimney Swift
lessca,Lesser Scaup
grysee1,Gray Seedeater
babwoo1,Bar-bellied Woodcreeper
slaela1,Slaty Elaenia
jabiru,Jabiru
biccon1,Bicolored Conebill
yebtea1,Yellow-billed Teal
caster1,Caspian Tern
capowl1,Central American Pygmy-Owl
bulalb2,Buller's Albatross
chaswi2,Chapman's Swift
whcpet1,White-chinned Petrel
rispet1,Ringed Storm-Petrel
cappet,Pintado Petrel
sopsku1,South Polar Skua
manshe,Manx Shearwater
relcor1,Red-legged Cormorant
blaoys1,Blackish Oystercatcher
blknod,Black Noddy
wispet,Wilson's Storm-Petrel
kerpet,Kermadec Petrel
manrai1,Mangrove Rail
chrshe,Christmas Shearwater
humsap2,Humboldt's Sapphire
brfgle1,Brown-rumped Foliage-gleaner
mallar3,Mallard
plffal1,Plumbeous Forest-Falcon
blkswi,Black Swift
lbbgul,Lesser Black-backed Gull
spthum2,Spot-throated Hummingbird
rucnun1,Rufous-capped Nunlet
brotin1,Brown Tinamou
dwacuc1,Dwarf Cuckoo
redegr,Reddish Egret
andfli1,Andean Flicker
rofpar3,Rose-fronted Parakeet
y00475,American Coot
norpin,Northern Pintail
pebcuc1,Pearly-breasted Cuckoo
sptwoo1,Spot-throated Woodcreeper
humpen1,Humboldt Penguin
bulshe,Buller's Shearwater
chtspi1,Chestnut-throated Spinetail
yehbla,Yellow-headed Blackbird
yebori1,Yellow-backed Oriole
batnig1,Band-tailed Nighthawk
btnwar,Black-throated Green Warbler
paebla2,Pale-eyed Blackbird
lobcur,Long-billed Curlew
ancant1,Ancient Antwren
litgul,Little Gull
